Gene1	Gene2	combine_score
SLC7A5	TP53	0.421
SLC7A5	TRIB3	0.744
SLC7A5	TSC2	0.375
SLC7A5	TUBB3	0.482
SLC7A5	YKT6	0.537
SLC7A5	ZFPM1	0.273
SLC7A6	SLC7A7	0.518
SLC7A6	SLC7A8	0.546
SLC7A6	SLC7A9	0.565
SLC7A6	SLC9A2	0.279
SLC7A6	SLCO4C1	0.214
SLC7A6	SMAD2	0.359
SLC7A6	ZFP90	0.216
SLC7A6	ZNF337	0.231
SLC7A6	ZSCAN25	0.207
SLC7A7	SLC7A8	0.664
SLC7A7	SLC7A9	0.576
SLC7A7	SLC9A2	0.281
SLC7A7	SLC9A3	0.284
SLC7A7	STXBP2	0.373
SLC7A7	TLR2	0.366
SLC7A7	TYROBP	0.412
SLC7A8	SLC7A9	0.554
SLC7A8	SLC9A3	0.278
SLC7A8	SLCO1A2	0.257
SLC7A8	SLCO1C1	0.731
SLC7A8	SLCO2B1	0.324
SLC7A8	SLCO4A1	0.315
SLC7A8	TDO2	0.287
SLC7A8	TRH	0.558
SLC7A9	SLC9A2	0.243
SLC7A9	SLC9A3	0.348
SLC7A9	SLCO4C1	0.233
SLC7A9	SOAT2	0.248
SLC7A9	SP6	0.208
SLC7A9	SYT8	0.159
SLC7A9	XPNPEP2	0.253
SLC8A1	SLC8A2	0.906
SLC8A1	SLC8A3	0.904
SLC8A1	SLC8B1	0.570
SLC8A1	SLC9A1	0.447
SLC8A1	SLCO3A1	0.384
SLC8A1	SQSTM1	0.444
SLC8A1	ST6GALNAC3	0.197
SLC8A1	TNNI3	0.377
SLC8A1	TNNT2	0.475
SLC8A1	TRDN	0.436
SLC8A1	TRPC1	0.452
SLC8A1	TRPC3	0.698
SLC8A1	TRPC6	0.669
SLC8A1	TRPV5	0.611
SLC8A1	TRPV6	0.540
SLC8A1	TTN	0.377
SLC8A1	TYROBP	0.355
SLC8A1	UBE2K	0.386
SLC8A1	UBE2S	0.337
SLC8A2	SLC8A3	0.964
SLC8A2	SLC8B1	0.652
SLC8A2	SNAP25	0.341
SLC8A2	SNAP91	0.307
SLC8A2	SNCB	0.444
SLC8A2	SPRED3	0.230
SLC8A2	SPTBN4	0.289
SLC8A2	ST8SIA3	0.298
SLC8A2	ST8SIA5	0.178
SLC8A2	SULT4A1	0.276
SLC8A2	SV2B	0.515
SLC8A2	SYN1	0.421
SLC8A2	SYN2	0.305
SLC8A2	SYT9	0.172
SLC8A2	TAC1	0.289
SLC8A2	TAS2R31	0.152
SLC8A2	TRPC1	0.299
SLC8A2	TRPC3	0.364
SLC8A2	TRPC6	0.293
SLC8A2	TRPV5	0.359
SLC8A2	TRPV6	0.327
SLC8A2	UNC13A	0.281
SLC8A3	SLC8B1	0.655
SLC8A3	SLC9A1	0.258
SLC8A3	STIM1	0.323
SLC8A3	TPM3	0.226
SLC8A3	TRPC1	0.366
SLC8A3	TRPC3	0.379
SLC8A3	TRPC5	0.251
SLC8A3	TRPC6	0.327
SLC8A3	TRPC7	0.174
SLC8A3	TRPV5	0.354
SLC8A3	TRPV6	0.298
SLC8A3	WFS1	0.235
SLC8A3	ZNF460	0.160
SLC8B1	SLC9A1	0.319
SLC8B1	SLC9A6	0.407
SLC8B1	SMARCA2	0.299
SLC8B1	SMARCA4	0.299
SLC8B1	SNCA	0.200
SLC8B1	SPG7	0.248
SLC8B1	STIM1	0.503
SLC8B1	TCIRG1	0.219
SLC8B1	TFB1M	0.213
SLC8B1	TRPC1	0.269
SLC8B1	TRPC3	0.269
SLC8B1	TRPM4	0.239
SLC8B1	TRPV1	0.222
SLC8B1	TRPV5	0.208
SLC8B1	TSPO	0.287
SLC8B1	UCP2	0.296
SLC8B1	VAPB	0.317
SLC9A1	SLC9A3	0.533
SLC9A1	SLC9A6	0.469
SLC9A1	SRC	0.423
SLC9A1	TESK1	0.214
SLC9A1	TLN1	0.559
SLC9A1	WNK1	0.318
SLC9A1	YWHAB	0.577
SLC9A2	SLC9A3	0.334
SLC9A2	SLC9A6	0.455
SLC9A2	SRC	0.410
SLC9A2	TAC1	0.250
SLC9A2	TRPV5	0.273
SLC9A2	WNK4	0.431
SLC9A3	SLC9A6	0.416
SLC9A3	SLCO4A1	0.202
SLC9A3	SLCO4C1	0.236
SLC9A3	SPINT2	0.317
SLC9A3	SRC	0.378
SLC9A3	ST6GALNAC2	0.151
SLC9A3	STX3	0.380
SLC9A3	STXBP2	0.255
SLC9A3	TAC1	0.460
SLC9A3	TJP1	0.431
SLC9A3	TRPM4	0.387
SLC9A3	TRPV5	0.505
SLC9A3	TRPV6	0.385
SLC9A3	WNK1	0.325
SLC9A3	WNK3	0.265
SLC9A3	WNK4	0.468
SLC9A3	YAP1	0.404
SLC9A6	SLIT2	0.412
SLC9A6	SNRNP48	0.191
SLC9A6	STXBP1	0.415
SLC9A6	SYNGAP1	0.280
SLC9A6	SYNJ1	0.279
SLC9A6	SYT11	0.376
SLC9A6	TBC1D24	0.232
SLC9A6	UBE2A	0.415
SLC9A6	UBE3A	0.489
SLC9A6	UGT8	0.352
SLC9A6	WDR45	0.220
SLC9A6	YWHAH	0.343
SLC9A6	ZNF335	0.191
SLC9A6	ZNF398	0.241
SLC9A6	ZNF510	0.179
SLC9A6	ZNF528	0.173
SLC9A6	ZNF711	0.276
SLC9A6	ZNF75D	0.211
SLC9A6	ZSCAN10	0.219
SLCO1A2	SLCO4A1	0.267
SLCO1A2	SLCO4C1	0.291
SLCO1A2	STS	0.401
SLCO1A2	SULT1A1	0.372
SLCO1A2	SULT1C4	0.298
SLCO1A2	SULT1E1	0.305
SLCO1A2	SULT2A1	0.536
SLCO1A2	SULT2B1	0.234
SLCO1A2	UGT1A1	0.582
SLCO1A2	UGT1A10	0.578
SLCO1A2	UGT1A3	0.457
SLCO1A2	UGT1A4	0.578
SLCO1A2	UGT1A5	0.453
SLCO1A2	UGT1A6	0.581
SLCO1A2	UGT1A7	0.578
SLCO1A2	UGT1A8	0.581
SLCO1A2	UGT1A9	0.458
SLCO1A2	UGT2A3	0.441
SLCO1A2	UGT2B10	0.442
SLCO1A2	UGT2B11	0.438
SLCO1A2	UGT2B15	0.454
SLCO1A2	UGT2B17	0.428
SLCO1A2	UGT2B28	0.442
SLCO1A2	UGT2B4	0.485
SLCO1A2	UGT2B7	0.513
SLCO1A2	UGT3A1	0.689
SLCO1A2	UGT3A2	0.675
SLCO1B1	SLCO1B3	0.403
SLCO1B1	SLCO1C1	0.466
SLCO1B1	SLCO2A1	0.273
SLCO1B1	SLCO4A1	0.512
SLCO1B1	SLCO4C1	0.196
SLCO1B1	SULT1A1	0.460
SLCO1B1	SULT1A2	0.216
SLCO1B1	SULT1B1	0.331
SLCO1B1	SULT1C4	0.342
SLCO1B1	SULT1E1	0.356
SLCO1B1	SULT2A1	0.539
SLCO1B1	TREX1	0.244
SLCO1B1	TTPA	0.350
SLCO1B1	UGT1A1	0.927
SLCO1B1	UGT1A10	0.795
SLCO1B1	UGT1A3	0.636
SLCO1B1	UGT1A4	0.812
SLCO1B1	UGT1A5	0.587
SLCO1B1	UGT1A6	0.803
SLCO1B1	UGT1A7	0.796
SLCO1B1	UGT1A8	0.799
SLCO1B1	UGT1A9	0.697
SLCO1B1	UGT2A3	0.609
SLCO1B1	UGT2B10	0.643
SLCO1B1	UGT2B11	0.748
SLCO1B1	UGT2B15	0.653
SLCO1B1	UGT2B17	0.582
SLCO1B1	UGT2B28	0.612
SLCO1B1	UGT2B4	0.778
SLCO1B1	UGT2B7	0.733
SLCO1B1	UROC1	0.240
SLCO1B3	SLCO2A1	0.258
SLCO1B3	SLCO4C1	0.273
SLCO1B3	SULT1A1	0.335
SLCO1B3	SULT1E1	0.341
SLCO1B3	SULT2A1	0.402
SLCO1B3	TTPA	0.259
SLCO1B3	UGT1A1	0.877
SLCO1B3	UGT1A10	0.653
SLCO1B3	UGT1A3	0.593
SLCO1B3	UGT1A4	0.683
SLCO1B3	UGT1A5	0.461
SLCO1B3	UGT1A6	0.685
SLCO1B3	UGT1A7	0.655
SLCO1B3	UGT1A8	0.675
SLCO1B3	UGT1A9	0.614
SLCO1B3	UGT2A3	0.487
SLCO1B3	UGT2B10	0.504
SLCO1B3	UGT2B11	0.490
SLCO1B3	UGT2B15	0.555
SLCO1B3	UGT2B17	0.485
SLCO1B3	UGT2B28	0.488
SLCO1B3	UGT2B4	0.548
SLCO1B3	UGT2B7	0.632
SLCO1C1	SLCO2B1	0.502
SLCO1C1	SLCO3A1	0.205
SLCO1C1	SLCO4A1	0.491
SLCO1C1	SNAP25	0.241
SLCO1C1	SST	0.239
SLCO1C1	SULT2A1	0.273
SLCO1C1	SV2B	0.267
SLCO1C1	TG	0.274
SLCO1C1	THRA	0.463
SLCO1C1	THRB	0.505
SLCO1C1	TRH	0.649
SLCO1C1	TSHB	0.456
SLCO1C1	TSHR	0.403
SLCO1C1	TTR	0.553
SLCO1C1	ZNF688	0.194
SLCO1C1	ZNF75A	0.157
SLCO2A1	SLCO2B1	0.261
SLCO2A1	SLCO4A1	0.254
SLCO2A1	SLCO4C1	0.231
SLCO2A1	SOX17	0.229
SLCO2A1	TATDN2	0.332
SLCO2A1	TEK	0.285
SLCO2A1	TG	0.299
SLCO2A1	VWF	0.243
SLCO2B1	SLCO3A1	0.499
SLCO2B1	SLCO4A1	0.300
SLCO2B1	SLCO4C1	0.270
SLCO2B1	STS	0.432
SLCO2B1	SULT1A1	0.425
SLCO2B1	SULT1A3	0.170
SLCO2B1	SULT1E1	0.337
SLCO2B1	SULT2A1	0.389
SLCO2B1	TREM2	0.452
SLCO2B1	UGT1A1	0.527
SLCO2B1	UGT1A10	0.499
SLCO2B1	UGT1A3	0.418
SLCO2B1	UGT1A4	0.525
SLCO2B1	UGT1A5	0.336
SLCO2B1	UGT1A6	0.534
SLCO2B1	UGT1A7	0.499
SLCO2B1	UGT1A8	0.501
SLCO2B1	UGT1A9	0.381
SLCO2B1	UGT2A3	0.330
SLCO2B1	UGT2B10	0.313
SLCO2B1	UGT2B11	0.317
SLCO2B1	UGT2B15	0.453
SLCO2B1	UGT2B17	0.389
SLCO2B1	UGT2B28	0.316
SLCO2B1	UGT2B4	0.399
SLCO2B1	UGT2B7	0.482
SLCO2B1	ZNF681	0.181
SLCO3A1	SLCO4A1	0.355
SLCO3A1	SLCO4C1	0.324
SLCO3A1	ST8SIA2	0.337
SLCO3A1	ST8SIA4	0.229
SLCO3A1	STS	0.307
SLCO3A1	SULT1E1	0.269
SLCO3A1	SULT2A1	0.198
SLCO3A1	SV2B	0.335
SLCO3A1	TYROBP	0.347
SLCO3A1	ZNF101	0.167
SLCO3A1	ZNF562	0.238
SLCO3A1	ZNF710	0.198
SLCO4A1	STS	0.270
SLCO4A1	SULT1E1	0.204
SLCO4A1	SULT2A1	0.267
SLCO4A1	SUV39H1	0.208
SLCO4A1	TTR	0.223
SLCO4A1	UGT1A1	0.200
SLCO4A1	UGT1A4	0.210
SLCO4A1	UGT1A6	0.212
SLCO4A1	UGT2B15	0.206
SLCO4A1	XRCC3	0.198
SLCO4A1	ZNF394	0.162
SLCO4A1	ZNF621	0.195
SLCO4C1	ST8SIA4	0.279
SLCO4C1	TP53BP2	0.203
SLCO4C1	TRIM68	0.203
SLCO4C1	TRPV6	0.186
SLCO4C1	UGT1A1	0.190
SLCO4C1	UGT1A10	0.190
SLCO4C1	UGT1A4	0.194
SLCO4C1	UGT1A6	0.184
SLCO4C1	UGT1A9	0.185
SLCO4C1	UGT2B7	0.178
SLCO4C1	WNT11	0.263
SLCO4C1	ZNF556	0.269
SLIT1	SLIT2	0.515
SLIT1	SLIT3	0.520
SLIT1	SLITRK2	0.345
SLIT1	SNRNP48	0.195
SLIT1	SNRPD2	0.273
SLIT1	WASF1	0.365
SLIT1	WNT5A	0.335
SLIT1	ZFP1	0.194
SLIT1	ZFP28	0.152
SLIT1	ZFPM2	0.256
SLIT1	ZNF264	0.170
SLIT1	ZNF286A	0.181
SLIT1	ZNF432	0.240
SLIT1	ZNF490	0.163
SLIT1	ZNF500	0.170
SLIT1	ZNF606	0.174
SLIT1	ZNF716	0.203
SLIT2	SLIT3	0.589
SLIT2	SNRNP48	0.195
SLIT2	SOS1	0.568
SLIT2	SOS2	0.546
SLIT2	ST6GALNAC5	0.220
SLIT2	UGT8	0.362
SLIT2	VASP	0.582
SLIT2	WNT5A	0.380
SLIT2	XYLT1	0.218
SLIT2	ZNF154	0.170
SLIT2	ZNF169	0.238
SLIT2	ZNF311	0.154
SLIT2	ZNF382	0.195
SLIT2	ZNF660	0.171
SLIT3	SLITRK2	0.298
SLIT3	SNRNP48	0.195
SLIT3	SOCS6	0.277
SLIT3	SRC	0.327
SLIT3	WNT5A	0.384
SLIT3	ZFPM2	0.285
SLIT3	ZNF154	0.156
SLIT3	ZNF382	0.185
SLIT3	ZNF660	0.153
SLIT3	ZNF692	0.381
SLITRK2	SNRPD2	0.273
SLITRK2	SNRPD3	0.236
SLITRK2	SNRPE	0.230
SLITRK2	SNRPN	0.224
SLITRK2	SRSF10	0.254
SLITRK2	ST6GALNAC5	0.348
SLITRK2	STK26	0.208
SLITRK2	SULT4A1	0.266
SLITRK2	SYN1	0.267
SLITRK2	SYN2	0.226
SLITRK2	SYN3	0.218
SLITRK2	SYNGAP1	0.407
SLITRK2	TDO2	0.468
SLITRK2	THRB	0.454
SLITRK2	TOR1A	0.491
SLITRK2	WASF2	0.224
SLITRK2	ZNF467	0.207
SLITRK2	ZNF483	0.167
SMAD1	SMAD2	0.979
SMAD1	SMAD3	0.954
SMAD1	SMAD4	0.997
SMAD1	SMAD5	0.940
SMAD1	SMAD6	0.985
SMAD1	SMAD7	0.944
SMAD1	SMAD9	0.937
SMAD1	SMN1	0.576
SMAD1	SP7	0.306
SMAD1	STAT3	0.583
SMAD1	STK11	0.336
SMAD1	TAZ	0.386
SMAD1	TET2	0.300
SMAD1	TFR2	0.242
SMAD1	TGFB1	0.521
SMAD1	TGFB2	0.306
SMAD1	TGFB3	0.299
SMAD1	TGFBR1	0.614
SMAD1	TGFBR2	0.292
SMAD1	TP53	0.390
SMAD1	TRPC1	0.301
SMAD1	TRPC3	0.301
SMAD1	TRPC5	0.301
SMAD1	TRPC6	0.305
SMAD1	TRPC7	0.301
SMAD1	UBA52	0.400
SMAD1	UBB	0.411
SMAD1	UBC	0.527
SMAD1	UBE2D1	0.429
SMAD1	UBE2D3	0.428
SMAD1	USP15	0.764
SMAD1	WDR77	0.299
SMAD1	YAP1	0.962
SMAD1	YY1	0.333
SMAD1	ZFYVE16	0.585
SMAD1	ZFYVE9	0.710
SMAD1	ZNF41	0.227
SMAD1	ZNF521	0.415
SMAD2	SMAD3	0.999
SMAD2	SMAD4	0.999
SMAD2	SMAD5	0.972
SMAD2	SMAD6	0.972
SMAD2	SMAD7	0.983
SMAD2	SMAD9	0.959
SMAD2	SMARCA4	0.717
SMAD2	SMN1	0.418
SMAD2	SNAI1	0.782
SMAD2	SOX17	0.630
SMAD2	SOX2	0.756
SMAD2	SOX9	0.677
SMAD2	SP1	0.959
SMAD2	SP7	0.423
SMAD2	SPTBN1	0.382
SMAD2	TAL1	0.506
SMAD2	TEAD2	0.609
SMAD2	TEAD4	0.789
SMAD2	TGFB1	0.983
SMAD2	TGFB2	0.941
SMAD2	TGFB3	0.865
SMAD2	TGFBI	0.396
SMAD2	TGFBR1	0.999
SMAD2	TGFBR2	0.998
SMAD2	TIMP1	0.600
SMAD2	TIMP2	0.513
SMAD2	TP53	0.993
SMAD2	TP63	0.606
SMAD2	TRAF6	0.877
SMAD2	TRIM33	0.999
SMAD2	TRIM63	0.676
SMAD2	TRIM72	0.209
SMAD2	TRPC1	0.354
SMAD2	TRPC3	0.370
SMAD2	TRPC5	0.313
SMAD2	TRPC6	0.431
SMAD2	TRPC7	0.301
SMAD2	TSC22D3	0.454
SMAD2	UCHL5	0.617
SMAD2	USP15	0.865
SMAD2	USP2	0.347
SMAD2	WNK1	0.697
SMAD2	WNT10B	0.402
SMAD2	WNT2	0.427
SMAD2	WNT3	0.389
SMAD2	WNT5B	0.293
SMAD2	WNT7A	0.418
SMAD2	YAP1	0.979
SMAD2	YES1	0.464
SMAD2	ZFYVE16	0.941
SMAD2	ZFYVE9	0.999
SMAD2	ZIC3	0.505
SMAD2	ZNF169	0.179
SMAD2	ZNF510	0.180
SMAD2	ZSCAN10	0.533
SMAD3	SMAD4	0.999
SMAD3	SMAD5	0.980
SMAD3	SMAD6	0.933
SMAD3	SMAD7	0.976
SMAD3	SMAD9	0.990
SMAD3	SMG6	0.362
SMAD3	SMN1	0.389
SMAD3	SNAI1	0.994
SMAD3	SOX17	0.503
SMAD3	SOX2	0.929
SMAD3	SOX9	0.778
SMAD3	SP1	0.978
SMAD3	SPTBN1	0.855
SMAD3	STAT1	0.849
SMAD3	STAT3	0.909
SMAD3	STMN1	0.419
SMAD3	TAB1	0.588
SMAD3	TAL1	0.489
SMAD3	TCF4	0.538
SMAD3	TEAD2	0.610
SMAD3	TEAD3	0.239
SMAD3	TEAD4	0.899
SMAD3	TGFB1	0.990
SMAD3	TGFB2	0.966
SMAD3	TGFB3	0.865
SMAD3	TGFBI	0.410
SMAD3	TGFBR1	0.999
SMAD3	TGFBR2	0.998
SMAD3	TIMP1	0.597
SMAD3	TIMP2	0.489
SMAD3	TP53	0.963
SMAD3	TRAF6	0.955
SMAD3	TRIB3	0.775
SMAD3	TRIM33	0.997
SMAD3	TRIM63	0.649
SMAD3	TRPC3	0.342
SMAD3	TRPC6	0.404
SMAD3	TRPC7	0.301
SMAD3	TSC2	0.643
SMAD3	TUBB1	0.386
SMAD3	UCHL5	0.708
SMAD3	USP15	0.847
SMAD3	USP2	0.351
SMAD3	WNT10A	0.251
SMAD3	WNT10B	0.318
SMAD3	WNT5B	0.321
SMAD3	WNT7A	0.421
SMAD3	WNT7B	0.401
SMAD3	WWOX	0.756
SMAD3	YAP1	0.965
SMAD3	YY1	0.716
SMAD3	ZBTB7A	0.378
SMAD3	ZFP69B	0.618
SMAD3	ZFYVE16	0.953
SMAD3	ZFYVE9	0.999
SMAD3	ZNF169	0.206
SMAD3	ZNF416	0.227
SMAD4	SMAD5	0.999
SMAD4	SMAD6	0.989
SMAD4	SMAD7	0.947
SMAD4	SMAD9	0.999
SMAD4	SMARCB1	0.514
SMAD4	SMN1	0.585
SMAD4	SNAI1	0.960
SMAD4	SOS1	0.635
SMAD4	SOX2	0.820
SMAD4	SOX9	0.686
SMAD4	SP1	0.933
SMAD4	SP3	0.580
SMAD4	SP7	0.482
SMAD4	SPAG9	0.339
SMAD4	SPTBN1	0.673
SMAD4	SRC	0.725
SMAD4	STAT3	0.768
SMAD4	STK11	0.847
SMAD4	TEAD2	0.309
SMAD4	TEAD3	0.230
SMAD4	TFR2	0.470
SMAD4	TGFB1	0.959
SMAD4	TGFB2	0.877
SMAD4	TGFB3	0.807
SMAD4	TGFBR1	0.998
SMAD4	TGFBR2	0.996
SMAD4	THRA	0.449
SMAD4	TIMP2	0.543
SMAD4	TIMP4	0.320
SMAD4	TMPRSS6	0.445
SMAD4	TP53	0.875
SMAD4	TP63	0.492
SMAD4	TRAPPC6A	0.267
SMAD4	TRIM33	0.986
SMAD4	TRIM63	0.582
SMAD4	TRPC7	0.301
SMAD4	UBE2I	0.774
SMAD4	UBE2K	0.500
SMAD4	USP15	0.743
SMAD4	USP3	0.413
SMAD4	USP4	0.495
SMAD4	VPS4B	0.312
SMAD4	WNT2	0.433
SMAD4	WNT2B	0.358
SMAD4	WWOX	0.583
SMAD4	XPO1	0.623
SMAD4	XPO5	0.598
SMAD4	YAP1	0.943
SMAD4	YY1	0.708
SMAD4	ZBTB7A	0.408
SMAD4	ZFP36L1	0.300
SMAD4	ZFYVE16	0.816
SMAD4	ZFYVE9	0.895
SMAD4	ZNF189	0.205
SMAD4	ZNF215	0.170
SMAD4	ZNF217	0.354
SMAD4	ZNF510	0.172
SMAD4	ZNF521	0.650
SMAD4	ZNRF3	0.280
SMAD4	ZSCAN10	0.521
SMAD5	SMAD6	0.953
SMAD5	SMAD7	0.955
SMAD5	SMAD9	0.995
SMAD5	SNRNP70	0.530
SMAD5	SOCS4	0.244
SMAD5	SOX9	0.397
SMAD5	SP7	0.525
SMAD5	STAT3	0.386
SMAD5	SUV39H1	0.393
SMAD5	SUV39H2	0.663
SMAD5	TFR2	0.338
SMAD5	TGFB1	0.824
SMAD5	TGFB2	0.549
SMAD5	TGFB3	0.531
SMAD5	TGFBR1	0.830
SMAD5	TGFBR2	0.614
SMAD5	TMPRSS6	0.297
SMAD5	TRPC7	0.301
SMAD5	UBE2D1	0.461
SMAD5	UBE2D3	0.428
SMAD5	UBE2K	0.486
SMAD5	UBE2S	0.453
SMAD5	YAP1	0.570
SMAD5	ZFPM2	0.426
SMAD5	ZFYVE16	0.661
SMAD5	ZFYVE9	0.467
SMAD5	ZNF25	0.188
SMAD5	ZNF736	0.166
SMAD6	SMAD7	0.984
SMAD6	SMAD9	0.956
SMAD6	SNAI1	0.453
SMAD6	SOX9	0.370
SMAD6	SP7	0.384
SMAD6	SRC	0.349
SMAD6	STAMBP	0.391
SMAD6	TAB1	0.422
SMAD6	TGFB1	0.846
SMAD6	TGFB2	0.760
SMAD6	TGFB3	0.631
SMAD6	TGFBR1	0.982
SMAD6	TGFBR2	0.697
SMAD6	TNFAIP3	0.361
SMAD6	TP53	0.360
SMAD6	TRAF6	0.573
SMAD6	TRPC5	0.301
SMAD6	TRPC7	0.301
SMAD6	USP15	0.418
SMAD6	YAP1	0.568
SMAD6	ZFP1	0.171
SMAD6	ZFYVE16	0.660
SMAD6	ZFYVE9	0.516
SMAD6	ZNF20	0.166
SMAD6	ZNF700	0.154
SMAD7	SMAD9	0.970
SMAD7	SNAI1	0.635
SMAD7	STAMBP	0.599
SMAD7	STAT1	0.902
SMAD7	STAT3	0.530
SMAD7	TAB1	0.626
SMAD7	TAB3	0.898
SMAD7	TFR2	0.312
SMAD7	TGFB1	0.989
SMAD7	TGFB2	0.898
SMAD7	TGFB3	0.783
SMAD7	TGFBR1	0.999
SMAD7	TGFBR2	0.994
SMAD7	TGM2	0.430
SMAD7	TIMP4	0.271
SMAD7	TMPRSS6	0.301
SMAD7	TNF	0.540
SMAD7	TP53	0.665
SMAD7	TP53BP2	0.532
SMAD7	TRPC7	0.301
SMAD7	UBA52	0.499
SMAD7	UBB	0.513
SMAD7	UBC	0.541
SMAD7	UBE2L3	0.521
SMAD7	UBE2R2	0.288
SMAD7	UCHL5	0.993
SMAD7	USP15	0.947
SMAD7	USP2	0.352
SMAD7	VNN1	0.287
SMAD7	XPO1	0.550
SMAD7	YAP1	0.998
SMAD7	YY1	0.578
SMAD7	ZFPM2	0.461
SMAD7	ZFYVE16	0.668
SMAD7	ZFYVE9	0.778
SMAD7	ZNF180	0.287
SMAD9	SOX17	0.344
SMAD9	SP7	0.383
SMAD9	TFR2	0.264
SMAD9	TGFB1	0.738
SMAD9	TGFB2	0.624
SMAD9	TGFB3	0.494
SMAD9	TGFBR1	0.768
SMAD9	TGFBR2	0.554
SMAD9	TMPRSS6	0.226
SMAD9	TP53	0.328
SMAD9	TPO	0.414
SMAD9	TRPC5	0.301
SMAD9	TRPC6	0.371
SMAD9	TRPC7	0.301
SMAD9	UBE2D1	0.428
SMAD9	UBE2D3	0.428
SMAD9	YAP1	0.371
SMAD9	ZFYVE16	0.656
SMAD9	ZFYVE9	0.414
SMAD9	ZNF143	0.307
SMARCA2	SMARCA4	0.999
SMARCA2	SMARCA5	0.696
SMARCA2	SMARCB1	0.999
SMARCA2	SMARCE1	0.999
SMARCA2	SMC3	0.514
SMARCA2	SOX2	0.588
SMARCA2	SOX3	0.567
SMARCA2	SRSF1	0.544
SMARCA2	SSRP1	0.601
SMARCA2	SUMO2	0.510
SMARCA2	SUPT16H	0.488
SMARCA2	SUPT6H	0.485
SMARCA2	TAAR6	0.303
SMARCA2	TAF1	0.552
SMARCA2	TAF1L	0.362
SMARCA2	TBP	0.687
SMARCA2	TERT	0.487
SMARCA2	TOP2B	0.554
SMARCA2	TOPBP1	0.536
SMARCA2	TP53	0.476
SMARCA2	TRIM28	0.500
SMARCA2	TRIM33	0.408
SMARCA2	TRRAP	0.544
SMARCA2	UBE2N	0.513
SMARCA2	UHRF2	0.279
SMARCA2	UVSSA	0.251
SMARCA2	VHL	0.910
SMARCA2	WDR77	0.580
SMARCA2	ZNF212	0.214
SMARCA2	ZNF214	0.178
SMARCA2	ZNF215	0.256
SMARCA2	ZNF333	0.272
SMARCA2	ZNF33B	0.163
SMARCA2	ZNF467	0.235
SMARCA4	SMARCA5	0.908
SMARCA4	SMARCB1	0.999
SMARCA4	SMARCE1	0.999
SMARCA4	SMC3	0.551
SMARCA4	SOX2	0.823
SMARCA4	SP1	0.812
SMARCA4	SP7	0.489
SMARCA4	SSRP1	0.617
SMARCA4	STAT1	0.850
SMARCA4	STAT5B	0.783
SMARCA4	STK11	0.920
SMARCA4	SUPT16H	0.573
SMARCA4	SUPT6H	0.535
SMARCA4	SUV39H1	0.847
SMARCA4	TAF1	0.736
SMARCA4	TAF1L	0.387
SMARCA4	TDP2	0.491
SMARCA4	TEAD4	0.322
SMARCA4	TERT	0.990
SMARCA4	TET2	0.541
SMARCA4	TLE1	0.600
SMARCA4	TOP1	0.676
SMARCA4	TOP2B	0.719
SMARCA4	TOPBP1	0.686
SMARCA4	TP53	0.993
SMARCA4	TRIM24	0.485
SMARCA4	TRIM28	0.893
SMARCA4	TRIM33	0.466
SMARCA4	TRRAP	0.459
SMARCA4	TTF1	0.226
SMARCA4	VHL	0.917
SMARCA4	WDR5	0.720
SMARCA4	WDR77	0.798
SMARCA4	WRAP53	0.399
SMARCA4	WWOX	0.538
SMARCA4	XPC	0.534
SMARCA4	YAP1	0.646
SMARCA4	YWHAH	0.464
SMARCA4	YY1	0.709
SMARCA4	ZBTB7A	0.351
SMARCA4	ZIC3	0.262
SMARCA4	ZNF143	0.285
SMARCA4	ZNF215	0.190
SMARCA4	ZNF333	0.210
SMARCA4	ZNF426	0.170
SMARCA4	ZNF470	0.262
SMARCA4	ZNF500	0.192
SMARCA4	ZNF569	0.292
SMARCA5	SMARCB1	0.767
SMARCA5	SMARCE1	0.770
SMARCA5	SMC1A	0.544
SMARCA5	SMC3	0.773
SMARCA5	SMC6	0.380
SMARCA5	SOX2	0.645
SMARCA5	SP3	0.494
SMARCA5	SRSF1	0.786
SMARCA5	SSRP1	0.661
SMARCA5	SUPT16H	0.714
SMARCA5	SUPT4H1	0.426
SMARCA5	SUPT6H	0.506
SMARCA5	SUV39H1	0.767
SMARCA5	TAF1L	0.217
SMARCA5	TBP	0.715
SMARCA5	TCEA1	0.475
SMARCA5	TDP1	0.352
SMARCA5	TENT4A	0.465
SMARCA5	THUMPD1	0.356
SMARCA5	TOP1	0.660
SMARCA5	TP53	0.632
SMARCA5	TP53BP1	0.537
SMARCA5	TRIM28	0.689
SMARCA5	TRIM33	0.450
SMARCA5	TRRAP	0.523
SMARCA5	TTF1	0.826
SMARCA5	TWISTNB	0.550
SMARCA5	UBE2V2	0.509
SMARCA5	UBXN7	0.469
SMARCA5	UVSSA	0.240
SMARCA5	VRK2	0.288
SMARCA5	WAPL	0.360
SMARCA5	WSB2	0.246
SMARCA5	XPA	0.713
SMARCA5	XRN2	0.553
SMARCA5	YY1	0.636
SMARCA5	ZBTB7A	0.346
SMARCA5	ZFP2	0.166
SMARCA5	ZKSCAN1	0.319
SMARCA5	ZNF131	0.219
SMARCA5	ZNF140	0.211
SMARCA5	ZNF157	0.166
SMARCA5	ZNF184	0.174
SMARCA5	ZNF214	0.307
SMARCA5	ZNF215	0.376
SMARCA5	ZNF227	0.217
